name,item_id,slug,price_standard,price_gds_plus,owned,url
Inventory icons,_SJZi5wfsik,Inventory-icons,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Inventory-icons&item=_SJZi5wfsik
Parchment Game user interface kit,_0ebLvEy4kx,Parchment-Game-user-interface-kit,16.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Parchment-Game-user-interface-kit&item=_0ebLvEy4kx
Mint Choco complete Game interface pack,_zCPDhGkxn1,Mint-Choco-complete-Game-interface-pack,16.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Mint-Choco-complete-Game-interface-pack&item=_zCPDhGkxn1
Timers and clocks game interface icons,_h1gnzEPba4,Timers-and-clocks-game-interface-icons,4.50,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Timers-and-clocks-game-interface-icons&item=_h1gnzEPba4
Navigation themed Game interface icons,_GNsZPCCyBM,Navigation-themed-Game-interface-icons,6.50,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Navigation-themed-Game-interface-icons&item=_GNsZPCCyBM
Game interface Medal icons,_qa1reJ8WOX,Game-interface-Medal-icons,3.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-interface-Medal-icons&item=_qa1reJ8WOX
Game Status icons,_03yhKP4CsQ,Game-Status-icons,6.50,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-Status-icons&item=_03yhKP4CsQ
Game payment icons,_RtCIVQxFhz,Game-payment-icons,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-payment-icons&item=_RtCIVQxFhz
Monster maker mega kit,_HEfrFAodqd,Monster-maker-mega-kit,12.00,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Monster-maker-mega-kit&item=_HEfrFAodqd
Dwarves game character mega pack,_ALKavPalMf,Dwarves-game-character-mega-pack,16.95,14.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Dwarves-game-character-mega-pack&item=_ALKavPalMf
Gun making mega pack,_6Ee4rWdqgr,Gun-making-mega-pack,15.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Gun-making-mega-pack&item=_6Ee4rWdqgr
Mech city environement design mega pack,_lXjyVGy9BK,Mech-city-environement-design-mega-pack,24.95,20.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Mech-city-environement-design-mega-pack&item=_lXjyVGy9BK
Animated enemy tracked mechanoid,_n9wVZyZYod,Animated-enemy-tracked-mechanoid,5.95,4.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-enemy-tracked-mechanoid&item=_n9wVZyZYod
Wheelie mech game sprite enemy mega pack,_hsr1cCnqM1,Wheelie-mech-game-sprite-enemy-mega-pack,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Wheelie-mech-game-sprite-enemy-mega-pack&item=_hsr1cCnqM1
Mechanoid bomber blimp,_HIco1mPvRz,Mechanoid-bomber-blimp,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Mechanoid-bomber-blimp&item=_HIco1mPvRz
Jumping and hovering mechanoid mega pack,_dhvKGB9J3P,Jumping-and-hovering-mechanoid-mega-pack,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Jumping-and-hovering-mechanoid-mega-pack&item=_dhvKGB9J3P
Mini Mech enemy mega pack,_ymGCwtBhlB,Mini-Mech-enemy-mega-pack,16.95,12.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Mini-Mech-enemy-mega-pack&item=_ymGCwtBhlB
Mechanoid enemy game sprite number one,_1N1pSPuIQD,Mechanoid-enemy-game-sprite-number-one,7.95,5.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Mechanoid-enemy-game-sprite-number-one&item=_1N1pSPuIQD
Animated sand timers,_ZCrswmKCqF,Animated-sand-timers,4.95,2.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-sand-timers&item=_ZCrswmKCqF
Animated capybara game character,_yQiJ6Z5sbz,Animated-capybara-game-character,9.95,5.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-capybara-game-character&item=_yQiJ6Z5sbz
Anubis 2d game boss,_sD1HQrMLKg,Anubis-2d-game-boss,8.95,5.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Anubis-2d-game-boss&item=_sD1HQrMLKg
Flying Scarab enemy,_n93VeWOROD,Flying-Scarab-enemy,3.95,1.75,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Flying-Scarab-enemy&item=_n93VeWOROD
Animated rabbit character,_iQ4hN0jqV3,Animated-rabbit-character,9.95,5.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-rabbit-character&item=_iQ4hN0jqV3
Animated Beaver character,_R8Uca1xwUU,Animated-Beaver-character,9.95,5.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-Beaver-character&item=_R8Uca1xwUU
Animated Cat character,_KCifY1BfvV,Animated-Cat-character,9.95,5.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-Cat-character&item=_KCifY1BfvV
Side view kitchen interior mega prop pack,_Na34vRmpZR,Side-view-kitchen-interior-mega-prop-pack,11.95,9.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Side-view-kitchen-interior-mega-prop-pack&item=_Na34vRmpZR
Stone interior tileset,_y3jjcaLf86,Stone-interior-tileset,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Stone-interior-tileset&item=_y3jjcaLf86
Wooden interior tileset,_MeSY0hNbwd,Wooden-interior-tileset,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Wooden-interior-tileset&item=_MeSY0hNbwd
Game projectiles,_QIQtwYZjB8,Game-projectiles,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-projectiles&item=_QIQtwYZjB8
Evidence folder,_pbmnVLBnx8,Evidence-folder,3.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Evidence-folder&item=_pbmnVLBnx8
Castle creator game asset mega pack,_JtowDnyBHH,Castle-creator-game-asset-mega-pack,29.95,20.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Castle-creator-game-asset-mega-pack&item=_JtowDnyBHH
Monster game sprite number five - the slug,_fBxYOtlTuc,Monster-game-sprite-number-five-the-slug,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Monster-game-sprite-number-five-the-slug&item=_fBxYOtlTuc
monster number four mushroom monster,_FDv3PA7BPo,monster-number-four-mushroom-monster,5.95,4.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=monster-number-four-mushroom-monster&item=_FDv3PA7BPo
Monster number three animated monster Sprite,_RaukrlM1GB,Monster-number-three-animated-monster-Sprite,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Monster-number-three-animated-monster-Sprite&item=_RaukrlM1GB
Monster game sprite number two,_YC6eDnn3TU,Monster-game-sprite-number-two,7.95,5.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Monster-game-sprite-number-two&item=_YC6eDnn3TU
Monster sprite,_NXfNyjWaLx,Monster-sprite,5.95,4.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Monster-sprite&item=_NXfNyjWaLx
Tree trunk game sprite character pack,_e0UZtVsGFE,Tree-trunk-game-sprite-character-pack,12.95,9.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Tree-trunk-game-sprite-character-pack&item=_e0UZtVsGFE
Infinite hand weapons game weapon creation pack,_nvS9gHiKl9,Infinite-hand-weapons-game-weapon-creation-pack,19.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Infinite-hand-weapons-game-weapon-creation-pack&item=_nvS9gHiKl9
Sword creator mega pack,_ykDDEAPYJk,Sword-creator-mega-pack,16.95,12.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Sword-creator-mega-pack&item=_ykDDEAPYJk
top down mechanoid robot number two,_bnwMY5rCvj,top-down-mechanoid-robot-number-two,5.95,4.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-mechanoid-robot-number-two&item=_bnwMY5rCvj
Animated top down mechanoid robot,_jlzYIAdtmX,Animated-top-down-mechanoid-robot,5.95,4.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-top-down-mechanoid-robot&item=_jlzYIAdtmX
top down laboratory mega game asset pack,_HzMvQdqLoZ,top-down-laboratory-mega-game-asset-pack,29.95,20.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-laboratory-mega-game-asset-pack&item=_HzMvQdqLoZ
Electric eel,_3mfJZ9YgzC,Electric-eel,5.95,4.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Electric-eel&item=_3mfJZ9YgzC
wood tile set,_FpKJ7eRBl4,wood-tile-set,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=wood-tile-set&item=_FpKJ7eRBl4
Kawaii face creator pack,_X93wffG8gD,Kawaii-face-creator-pack,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Kawaii-face-creator-pack&item=_X93wffG8gD
Bathroom interior environement design pack,_gzJRrKWUIj,Bathroom-interior-environement-design-pack,19.95,15.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Bathroom-interior-environement-design-pack&item=_gzJRrKWUIj
Game cursor mega pack,_zB1r8YeDti,Game-cursor-mega-pack,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-cursor-mega-pack&item=_zB1r8YeDti
Animated Slash and attack effects pack,_PKEELJXumO,Animated-Slash-and-attack-effects-pack,,,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-Slash-and-attack-effects-pack&item=_PKEELJXumO
Naval commander character pack,_zHlO4Xl6Uc,Naval-commander-character-pack,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Naval-commander-character-pack&item=_zHlO4Xl6Uc
Samurai game sprite character mega pack,_1WDg1EUX1u,Samurai-game-sprite-character-mega-pack,18.95,14.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Samurai-game-sprite-character-mega-pack&item=_1WDg1EUX1u
Controller setting screen creation kit,_IYXIcpHORc,Controller-setting-screen-creation-kit,12.00,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Controller-setting-screen-creation-kit&item=_IYXIcpHORc
Animated Pauper girl,_pcSyXDOtDr,Animated-Pauper-girl,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-Pauper-girl&item=_pcSyXDOtDr
Animated poor pauper boy,_oGHlnGL1Ai,Animated-poor-pauper-boy,9.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-poor-pauper-boy&item=_oGHlnGL1Ai
Ribbon creating pack,_LfP1ZQ1oB1,Ribbon-creating-pack,6.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Ribbon-creating-pack&item=_LfP1ZQ1oB1
classic bird cage game and cartoon prop,_9npUd7zdj7,classic-bird-cage-game-and-cartoon-prop,1.75,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=classic-bird-cage-game-and-cartoon-prop&item=_9npUd7zdj7
Animated deer,_yzB3eJdqyR,Animated-deer,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-deer&item=_yzB3eJdqyR
Unlocking lock animation,_uh15VPgfin,Unlocking-lock-animation,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Unlocking-lock-animation&item=_uh15VPgfin
Animated a wall breaking tentacle game sprite,_Pyd7QNNNg5,Animated-a-wall-breaking-tentacle-game-sprite,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-a-wall-breaking-tentacle-game-sprite&item=_Pyd7QNNNg5
Top down tower defence and fort weapons mega pack,_MmlDHisxf5,Top-down-tower-defence-and-fort-weapons-mega-pack,20.00,17.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-tower-defence-and-fort-weapons-mega-pack&item=_MmlDHisxf5
Stone Castle Tower and Fort Creation Game Asset Kit,_8x8mbbQTXz,Stone-Castle-Tower-and-Fort-Creation-Game-Asset-Kit,25.00,20.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Stone-Castle-Tower-and-Fort-Creation-Game-Asset-Kit&item=_8x8mbbQTXz
Wooden fort creation game asset mega pack,_C4BC5lqqMO,Wooden-fort-creation-game-asset-mega-pack,25.00,20.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Wooden-fort-creation-game-asset-mega-pack&item=_C4BC5lqqMO
Level map path creator,_oKlwMGL9J0,Level-map-path-creator,10.00,8.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Level-map-path-creator&item=_oKlwMGL9J0
Top down forest creation game asset pack,_5Tr86b1VD9,Top-down-forest-creation-game-asset-pack,12.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-forest-creation-game-asset-pack&item=_5Tr86b1VD9
top down plants and foliage design kit,_HkldmR7S5n,top-down-plants-and-foliage-design-kit,9.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-plants-and-foliage-design-kit&item=_HkldmR7S5n
top down classic wood props,_QhAhVfw3LX,top-down-classic-wood-props,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-classic-wood-props&item=_QhAhVfw3LX
top down rocks pack,_v8WCF3tglu,top-down-rocks-pack,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-rocks-pack&item=_v8WCF3tglu
Imp game character mega pack,_mfX3VMUaO9,Imp-game-character-mega-pack,17.50,15.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Imp-game-character-mega-pack&item=_mfX3VMUaO9
Platformer items mega bundle,_dblVSdPy5p,Platformer-items-mega-bundle,16.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Platformer-items-mega-bundle&item=_dblVSdPy5p
Bursts and rays,_owVy5xnfkC,Bursts-and-rays,2.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Bursts-and-rays&item=_owVy5xnfkC
Mega comic bubble creator pack,_9CCUxvgQD1,Mega-comic-bubble-creator-pack,8.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Mega-comic-bubble-creator-pack&item=_9CCUxvgQD1
Animated jailer character,_onkd6DW4P5,Animated-jailer-character,9.95,7.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-jailer-character&item=_onkd6DW4P5
Executioner game character,_gsLs14J56Q,Executioner-game-character,8.95,7.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Executioner-game-character&item=_gsLs14J56Q
Add flappy wings game asset,_a6VNypWUsq,Add-flappy-wings-game-asset,3.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Add-flappy-wings-game-asset&item=_a6VNypWUsq
Door maker builder pack,_uGKbhgmpjj,Door-maker-builder-pack,8.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Door-maker-builder-pack&item=_uGKbhgmpjj
top down rail track mega pack,_FALqA0lMAw,top-down-rail-track-mega-pack,12.95,9.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-rail-track-mega-pack&item=_FALqA0lMAw
Metal work mega pack,_a3lFqm4YhG,Metal-work-mega-pack,14.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Metal-work-mega-pack&item=_a3lFqm4YhG
2d extensible ladders,_Mu9L1mAUzt,2d-extensible-ladders,4.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=2d-extensible-ladders&item=_Mu9L1mAUzt
Medieval merchant cart,_7CMY9sxxsh,Medieval-merchant-cart,5.95,4.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Medieval-merchant-cart&item=_7CMY9sxxsh
Top down attack helicopter,_HpHr7d6OIp,Top-down-attack-helicopter,4.50,3.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-attack-helicopter&item=_HpHr7d6OIp
Mega potion creation pack,_gzJMxpJWlz,Mega-potion-creation-pack,14.95,12.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Mega-potion-creation-pack&item=_gzJMxpJWlz
Hunter Game Sprite,_ybsMAahthQ,Hunter-Game-Sprite,9.95,7.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Hunter-Game-Sprite&item=_ybsMAahthQ
Burst backgrounds,_VyPh3lb1Aa,Burst-backgrounds,1.00,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Burst-backgrounds&item=_VyPh3lb1Aa
Animated claw mechanism,_WcN6fQBvfj,Animated-claw-mechanism,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-claw-mechanism&item=_WcN6fQBvfj
